Date,Open,High,Low,Close,Adj Close,Volume
288,214.839996,217.100006,207.509995,210.350006,210.350006,3519400
289,211.309998,213.449997,208.300003,212.960007,212.960007,2728600
290,211.75,213.75,210.639999,211.630005,211.630005,1782400
291,210.399994,211.630005,203.889999,206.929993,206.929993,4438900
292,208.919998,215.800003,207.220001,213.789993,213.789993,3927900
293,213.850006,214.440002,207.75,208.350006,208.350006,8332500
294,227,232.740005,225.199997,231.630005,231.630005,12706700
295,230.580002,234.580002,229.190002,231.770004,231.770004,4496800
296,230.699997,233.360001,229.5,232.360001,232.360001,2445300
297,232.990005,232.990005,224.309998,225.330002,225.330002,3850900
298,223.479996,223.699997,216.080002,216.5,216.5,4617000
299,217.770004,219.479996,213.630005,219.080002,219.080002,3347800
300,217.850006,219,212.660004,212.940002,212.940002,2915900
301,212.949997,212.990005,206.520004,207.190002,207.190002,3430300
302,206.089996,214.979996,205.800003,214.309998,214.309998,2925400
303,215.199997,216,211.399994,214,214,2148700
304,214.5,221.380005,212.520004,221.070007,221.070007,2811900
305,220.539993,226.190002,220.300003,221.800003,221.800003,2504400
306,223.490005,225,213.580002,220.009995,220.009995,4400700
307,217.350006,219.179993,214.679993,217.75,217.75,2526200
308,215.369995,221,215,218.25,218.25,2480300
309,221.339996,230.830002,220.380005,229.639999,229.639999,3990800
310,231.059998,232.25,227.009995,231.610001,231.610001,1949400
311,231.789993,234.279999,229.080002,230.259995,230.259995,2659800
312,231.059998,238,231.050003,237.190002,237.190002,3734000
313,237,238.600006,231.229996,231.990005,231.990005,2981500
314,235.479996,237.449997,230,232.710007,232.710007,2939600
315,232.460007,233.270004,227.660004,230.380005,230.380005,2573600
316,227.699997,235.630005,226.149994,231.130005,231.130005,3144200
317,227.520004,228.800003,224.199997,226.720001,226.720001,2687600
318,226.699997,227.5,220.720001,224.520004,224.520004,3057800
319,224.710007,228.490005,223.639999,227.070007,227.070007,2067000
320,225.240005,225.75,216.639999,217.020004,217.020004,3268700
321,217.509995,220.919998,214.869995,218.580002,218.580002,2827100
322,221.820007,222.220001,218,221.089996,221.089996,2244400
323,222.100006,234.880005,220.729996,234.509995,234.509995,5104300
324,233.940002,237.759995,229.809998,233.389999,233.389999,3298600
325,232.889999,235.899994,229.289993,230.460007,230.460007,3014200
326,231.690002,235.830002,231.080002,232.559998,232.559998,1953200
327,234.990005,236.550003,229.630005,229.949997,229.949997,1958700
328,232.179993,233.449997,228.130005,229.699997,229.699997,1555000
329,230.559998,231.880005,228.279999,230.570007,230.570007,710300
330,231.490005,231.979996,225.539993,228.949997,228.949997,1900200
331,230.059998,237.720001,229.550003,237.190002,237.190002,2406300
332,236.600006,243.630005,235.669998,238.089996,238.089996,3697900
333,238.509995,243.449997,238.369995,240.009995,240.009995,2715000
334,230.720001,231.380005,219,223.410004,223.410004,6827100
335,226.360001,226.889999,220,223.429993,223.429993,3186800
336,220,220.050003,215.979996,219.039993,219.039993,3779100
337,214.190002,218.440002,213.669998,215.649994,215.649994,3554300
338,217.860001,220.440002,210.770004,211,211,3628100
339,214.009995,214.449997,203,207.850006,207.850006,4089700
340,211.600006,213.740005,205.309998,209.970001,209.970001,3091900
341,212.009995,212.649994,200,200.309998,200.309998,4126400
342,202.210007,210,193.380005,206.179993,206.179993,6490700
343,198.970001,205.070007,197.25,204.990005,204.990005,5578600
344,208.710007,210.470001,200.779999,204.720001,204.720001,4038700
345,199.399994,201.279999,191.25,198.699997,198.699997,5838600
346,201.550003,203.229996,195.020004,199.970001,199.970001,3166200
347,204.800003,205.5,199.029999,202.550003,202.550003,3124100
348,200.059998,203.570007,195.880005,196.380005,196.380005,2698700
349,196.699997,197.820007,188.880005,193.559998,193.559998,4946800
350,192.380005,193.259995,185.770004,188.070007,188.070007,3617200
351,190.789993,191.279999,182.410004,189.699997,189.699997,4592800
352,189.949997,193.740005,188.080002,191.199997,191.199997,2852300
353,188.759995,199.520004,182.75,196.940002,196.940002,5297600
354,192.419998,193.119995,180.229996,182.779999,182.779999,5773600
355,183.589996,183.940002,170.179993,173.479996,173.479996,7931400
356,170.699997,175.979996,166.990005,175.330002,175.330002,4363900
357,171.300003,173,157.740005,162.600006,162.600006,9437600
358,157.100006,157.149994,146,147.990005,147.990005,9313000
359,142.320007,159.789993,141.050003,148.25,148.25,8575100
360,150.5,154.970001,141.740005,143.669998,143.669998,10406500
361,152,163.259995,147,150.470001,150.470001,14252400
362,155,157.009995,143.699997,151.039993,151.039993,7235800
363,158.699997,162.949997,154.110001,155.169998,155.169998,5593800
364,159,169.339996,156.679993,168.679993,168.679993,5825200
365,172.419998,172.949997,164.770004,166.770004,166.770004,3887600
366,163.660004,167.490005,162.5,166.580002,166.580002,2959400
367,170.119995,178.910004,169.850006,177.740005,177.740005,5060100
368,176.160004,181.729996,173.679993,177.210007,177.210007,5984400
369,172.75,179.5,167.839996,179,179,5395600
370,178.649994,188.520004,175.199997,187.429993,187.429993,5720500
371,188.699997,192,185,190.339996,190.339996,6065100
372,192.399994,196.350006,189.220001,191.929993,191.929993,4499000
373,194.25,195.949997,182.699997,186.350006,186.350006,6712200
374,183.729996,188.520004,181.5,188.339996,188.339996,4862400
375,188.279999,197.419998,184.220001,195.740005,195.740005,4820500
376,198,204.029999,197.5,201.039993,201.039993,6489100
377,197.679993,209.699997,197.399994,205.289993,205.289993,5329400
378,203.5,207.5,202.199997,202.600006,202.600006,4178700
379,204.520004,209.369995,202.789993,208.720001,208.720001,3208600
380,210,213.289993,200.669998,205.179993,205.179993,5183200
381,207.929993,209.419998,205.330002,207.5,207.5,3343100
382,212.649994,216.720001,210.639999,215.149994,215.149994,4065700
383,214.270004,218.970001,211.5,218.339996,218.339996,3180500
384,218,222.580002,217.020004,221.929993,221.929993,3516700
385,221.470001,228.5,220,226.380005,226.380005,3782900
386,229.100006,234.479996,228.059998,232.740005,232.740005,4711800
387,235.339996,239.880005,235,238.320007,238.320007,5307800
388,237.210007,238.990005,232.559998,234.240005,234.240005,4316000
389,232.369995,234.729996,222.029999,222.580002,222.580002,4948800
390,215.779999,228.889999,215,227.75,227.75,4960900
391,231.610001,234.809998,225,230.259995,230.259995,3925700
392,229.889999,232.380005,225.330002,230.130005,230.130005,4004900
393,235.089996,235.5,226.5,226.889999,226.889999,4033000
394,229.339996,237.419998,225.009995,229.770004,229.770004,8012900
395,244.830002,247.899994,233.25,237.589996,237.589996,15997500
396,249.119995,252.119995,243.639999,246.990005,246.990005,13475300
397,240.5,256.559998,240,255.470001,255.470001,9948700
398,253.970001,267.73999,253.449997,265.420013,265.420013,11679900
399,266.450012,269.339996,254.509995,257.200012,257.200012,8856200
400,260.5,260.820007,248.020004,250.070007,250.070007,7363900
401,251,258.98999,245.300003,249.919998,249.919998,9161700
402,249.5,251.800003,243.630005,247.820007,247.820007,5750800
403,248.509995,255.5,247.330002,254.529999,254.529999,4925600
404,253,256.839996,251.050003,251.860001,251.860001,4120000
405,251.309998,254.600006,249.119995,254.509995,254.509995,3752400
406,252.229996,258.309998,251.660004,253.880005,253.880005,4261800
407,253.119995,254.369995,241.25,247.369995,247.369995,6357500
408,246.259995,253.660004,241.5,249.970001,249.970001,5194100
409,248.990005,250.899994,246.910004,248.289993,248.289993,2783100
410,248.889999,254,245.710007,253.75,253.75,3786300
411,253.009995,257.380005,250.759995,251.820007,251.820007,3670300
412,252.050003,255.729996,249.389999,253.740005,253.740005,3223800
413,252.75,255,249.399994,251.470001,251.470001,3205800
414,249.850006,253.429993,247.440002,247.710007,247.710007,2519000
415,248.139999,248.429993,237.809998,240.759995,240.759995,5413800
416,241.5,243.190002,234.820007,241.800003,241.800003,3843900
417,237.360001,238.910004,231.619995,232.320007,232.320007,4302200
418,230.289993,234.460007,220.399994,222.559998,222.559998,8262500
419,228.460007,228.639999,209.789993,211.529999,211.529999,11254800
420,210.869995,216.369995,208.110001,214.929993,214.929993,5685200
421,215.720001,216.149994,206.800003,208.919998,208.919998,4776400
422,207.550003,209.470001,205,208.690002,208.690002,4065200
423,207.589996,215.479996,206.050003,208.960007,208.960007,5161900
424,211.440002,211.669998,203.660004,207.279999,207.279999,3650500
425,207.779999,211.199997,206.699997,207.610001,207.610001,2822800
426,208.149994,213.149994,207.919998,208.289993,208.289993,2949400
427,209.050003,209.820007,204.020004,204.660004,204.660004,2843600
428,209.149994,215.309998,207.75,211.169998,211.169998,5617500
429,213.619995,216.789993,207.300003,215.210007,215.210007,6866300
430,216.990005,220.550003,216.350006,220.279999,220.279999,9007100
431,219.869995,222.600006,215.860001,216.220001,216.220001,5093200
432,216.600006,218.740005,215.179993,217.910004,217.910004,3013800
433,217.910004,221.360001,216.509995,219.580002,219.580002,3126800
434,220.5,225.259995,219.050003,225.119995,225.119995,4064000
435,224.990005,225.929993,220.75,223.039993,223.039993,3650300
436,223.039993,224.75,221.5,223.229996,223.229996,2789000
437,221.479996,222.399994,216.889999,219.559998,219.559998,2982700
438,219.589996,219.910004,217.110001,218.960007,218.960007,2009400
439,220,221.940002,218.009995,218.990005,218.990005,2229000
440,218,220.899994,215.449997,220.679993,220.679993,2249500
441,222.240005,234.440002,221.520004,232.339996,232.339996,6213600
442,233.800003,240.850006,232.610001,235.520004,235.520004,5972000
443,234.979996,235.330002,227.059998,229.360001,229.360001,4492100
444,227.389999,227.970001,218.419998,218.789993,218.789993,6026600
445,219.5,225.770004,217.660004,217.869995,217.869995,4193000
446,218.880005,222.199997,212.529999,214.960007,214.960007,3580200
447,216.949997,221.899994,215.130005,217.699997,217.699997,2908500
448,217.419998,218.039993,213.5,217.929993,217.929993,2440300
449,217.809998,219.990005,214.5,215.470001,215.470001,3112600
450,219.5,223.75,218.229996,219.699997,219.699997,3555500
451,220.679993,222.570007,218.809998,219.610001,219.610001,4529000
452,199.470001,205.949997,195.75,196.660004,196.660004,23742400
